batch:10  lambda:100
epoch,dis_loss,gan_mae,gan_entropy,vgan_mae,vgan_entropy
252,1.40744,0.0579358,0.712927,1.35644,0.0562632,0.773491
253,1.38942,0.0568575,0.739162,1.30851,0.0565725,0.791817
254,1.38227,0.0566231,0.760059,1.33077,0.0578964,0.694056
255,1.37997,0.0567217,0.769603,1.40211,0.0583081,0.701284
256,1.38537,0.0565939,0.738275,1.40029,0.0565783,0.753431
257,1.36842,0.0567434,0.733597,1.41006,0.056072,0.783117
258,1.4013,0.0567327,0.724242,1.40726,0.0566998,0.770117
259,1.35897,0.0554757,0.769361,1.41068,0.056359,0.753642
260,1.38094,0.0558596,0.750564,1.38255,0.0556423,0.784049
261,1.38441,0.0563646,0.740103,1.3518,0.0558995,0.778772
262,1.38902,0.0562154,0.731832,1.35352,0.0555727,0.748467
263,1.38363,0.0562009,0.737516,1.37146,0.0559517,0.762529
264,1.35187,0.0557942,0.775455,1.35692,0.0566751,0.800309
265,1.38908,0.0558099,0.762447,1.35963,0.0552095,0.761958
266,1.35922,0.0552895,0.747947,1.41581,0.0565303,0.778684
267,1.3088,0.0554238,0.826295,1.33769,0.0550232,0.831322
268,1.37705,0.0563414,0.761863,1.26091,0.0561313,0.796002
269,1.3439,0.05543,0.814439,1.3424,0.0566862,0.824687
270,1.36133,0.0542921,0.823535,1.26133,0.0554112,0.744546
271,1.36473,0.0554004,0.779541,1.44395,0.0552894,0.761709
272,1.32612,0.0542363,0.817224,1.35052,0.0574866,0.762703
273,1.35111,0.0549371,0.75206,1.37976,0.0557583,0.820458
274,1.34633,0.0548535,0.75588,1.34267,0.0549152,0.749946
275,1.37613,0.0539087,0.781806,1.38299,0.0543862,0.771807
276,1.33204,0.054238,0.755721,1.43118,0.0551544,0.75054
277,1.39469,0.0543205,0.725238,1.36999,0.0539394,0.750219
278,1.3843,0.0539572,0.749923,1.3255,0.0541203,0.698647
279,1.3817,0.0536382,0.776711,1.42515,0.0547047,0.742079
280,1.37198,0.0536072,0.729182,1.29519,0.0520681,0.88769
281,1.38039,0.0541791,0.730382,1.35235,0.0545747,0.711292
282,1.36478,0.0532122,0.734319,1.39712,0.0538308,0.77425
283,1.39251,0.0528976,0.790486,1.29799,0.0523234,0.757443
284,1.38303,0.0539446,0.707962,1.42731,0.0537875,0.731751
285,1.39102,0.0528397,0.736292,1.3935,0.0533269,0.741143
286,1.36129,0.0525161,0.750066,1.39237,0.0529654,0.712427
287,1.39542,0.0529691,0.714542,1.45563,0.0536357,0.722299
288,1.37022,0.0523616,0.745355,1.34759,0.0526654,0.764148
289,1.37228,0.0528308,0.743633,1.39445,0.053411,0.744373
290,1.32089,0.0518488,0.759751,1.40474,0.0528592,0.699955
291,1.34656,0.0525075,0.771546,1.42034,0.0531659,0.666599
292,1.36487,0.0528291,0.77298,1.33542,0.0518931,0.864711
293,1.35582,0.0524148,0.757572,1.32431,0.0533186,0.73251
294,1.3263,0.0518422,0.750955,1.37953,0.053336,0.699864
295,1.39502,0.0525678,0.70796,1.31353,0.0531406,0.72393
296,1.39518,0.0513801,0.738496,1.33815,0.0533679,0.817409
297,1.35234,0.0521311,0.702568,1.38891,0.0522391,0.720201
298,1.37135,0.0521077,0.726157,1.37732,0.0515974,0.779271
299,1.36462,0.0522738,0.72861,1.28444,0.0505147,0.801753
300,1.38497,0.0520519,0.755464,1.36039,0.051243,0.818663
