batch:10  lambda:100
epoch,dis_loss,gan_mae,gan_entropy,vgan_mae,vgan_entropy
164,0.553434,2.84511,2.98245,4.35202,4.35876
165,1.07356,3.53324,3.43185,2.66186,2.80186
166,0.824516,3.00839,3.01198,4.04583,3.98801
167,0.683239,2.51639,2.38917,3.65023,3.59422
168,0.877431,3.75372,3.45694,3.21922,3.24421
169,0.741168,3.90817,3.51872,3.31878,3.44253
170,0.987987,3.21033,3.24455,3.52753,3.45715
171,0.600927,3.20339,3.71705,3.40531,3.34361
172,0.357344,2.32302,2.17957,4.00428,4.0399
173,0.748857,2.50374,2.50936,4.8322,5.1118
174,1.02518,2.73495,2.9085,2.97686,2.93872
175,1.16943,2.74526,3.33183,2.99183,2.96029
176,0.78966,3.52703,3.55469,4.06281,4.06451
177,0.23346,2.50866,2.44052,4.07169,4.14324
178,0.592707,2.49509,2.51832,3.82342,3.88208
179,0.283007,2.58364,2.81176,4.24761,4.20928
180,0.65757,2.41444,2.46873,3.44814,3.3634
181,0.654247,3.47642,3.73806,3.25182,3.22442
182,0.328306,2.75125,2.83909,4.88044,4.84378
183,0.391312,2.62124,2.69266,4.04592,4.10234
184,0.344354,3.23815,2.85925,4.23718,4.27595
185,0.690556,2.63621,2.80332,5.11321,5.18827
186,0.863152,3.05326,3.37714,3.92969,3.98257
187,0.840961,3.20262,3.38448,3.97247,4.13014
188,0.666325,3.09129,2.9336,4.42931,4.47675
189,0.757354,2.85791,3.00916,3.62312,3.60673
190,0.474936,2.51575,2.31636,6.99758,6.91828
191,0.690621,2.58725,2.59319,4.38413,4.27457
192,0.40887,3.59589,3.60792,3.88225,3.90046
193,0.44003,2.52379,2.4613,3.30724,3.27121
194,0.566946,2.80538,2.86658,4.06563,4.21971
195,0.892915,3.71045,3.35446,4.57695,4.68827
196,0.553985,3.72155,3.45441,6.23817,6.20876
197,1.35452,3.44683,3.34321,3.79753,3.88553
198,0.727773,2.59489,2.85229,3.46605,3.41319
199,0.71546,2.77886,2.97246,3.58008,3.54328
200,0.452256,2.99308,3.09138,5.62695,5.63363
201,0.638411,3.25227,3.18073,3.53452,3.55086
202,0.782957,2.85705,2.65103,3.98726,3.92505
203,0.663333,2.77209,2.57096,3.10036,2.98955
204,0.47704,2.63634,3.1315,3.49584,3.49594
205,0.312978,3.04214,2.94941,3.02939,3.0497
206,0.31416,3.66149,3.96943,4.87336,4.97978
207,1.16756,2.4853,2.499,3.00526,3.23886
208,0.565052,2.70976,3.28281,3.85865,3.9405
209,1.18929,2.65827,2.67896,3.52405,3.60208
210,1.07467,2.76076,2.80786,4.07071,4.11296
211,0.832562,3.18594,3.28711,5.83592,5.78876
212,0.846679,2.9117,2.89388,6.52006,6.57616
213,0.939128,2.65639,3.35337,5.07592,5.03849
214,0.624422,3.87182,4.32656,4.38827,4.32567
215,0.846555,3.37686,3.15747,3.03135,2.99507
216,0.396416,3.16242,4.0199,4.59275,4.49994
217,0.980121,2.47669,2.49945,3.34561,3.44029
218,0.921408,3.23667,3.09032,3.71686,3.81593
219,0.78515,3.17543,2.73851,3.11201,3.03857
220,0.376365,2.72861,2.97021,4.33081,4.32307
221,0.569339,2.59061,2.68666,4.27676,4.09651
222,0.606957,3.47091,3.57234,5.27228,5.25716
223,0.527498,2.72013,2.73758,3.92208,4.06371
224,0.80653,3.00754,3.28688,4.87952,4.90249
225,0.606646,3.62201,3.29632,3.17881,3.21038
226,1.02483,3.67089,3.55941,11.8562,11.9019
227,0.951087,3.19487,3.00037,3.61994,3.49586
228,0.404318,3.15422,3.25478,5.1856,5.07495
229,0.675321,2.71744,2.83618,3.6952,3.86629
230,0.376776,3.70593,3.65724,3.72664,3.80604
231,0.622457,2.41096,2.36526,3.62564,3.56547
232,0.98428,2.7241,2.48276,3.58123,3.42125
233,0.564439,3.81558,3.80232,4.2262,4.27398
234,0.446236,2.92176,2.88951,3.3212,3.26097
235,0.810903,3.06056,3.161,12.7192,12.6666
236,0.368594,2.42936,2.56469,10.6043,10.6509
237,0.440732,2.67854,2.50314,3.98477,3.83629
238,1.01682,2.89278,2.97772,5.51492,5.61097
239,0.774701,3.21779,2.98656,5.97416,6.03582
240,0.767959,2.84631,2.69939,3.0775,3.19078
241,0.613922,2.5304,2.65637,12.5158,12.5151
242,0.41035,2.67269,2.51324,4.66652,4.78594
243,0.650133,3.9726,3.63387,12.2923,12.333
244,0.362625,2.53511,2.50497,4.57994,4.4291
245,0.540259,3.06596,3.3027,4.31888,4.28952
246,0.602662,2.73604,2.83271,3.34797,3.45698
247,0.497203,2.50551,2.62137,4.60289,4.56389
248,0.347316,3.46049,3.31924,5.38889,5.40752
249,0.550448,3.31168,3.23773,4.43518,4.26696
250,0.839342,2.45429,2.47784,3.46809,3.22052
251,0.939592,2.93125,2.7489,3.47123,3.33515
252,1.02687,2.73618,2.67184,3.7746,3.67332
253,0.910152,2.82145,2.83267,10.0758,10.1616
254,0.665739,2.71289,2.78368,3.79365,3.88693
255,0.559452,3.81337,3.86109,5.85096,5.87004
256,0.70567,2.40037,2.4933,15.0899,15.2428
257,0.310809,2.25612,2.41559,4.14542,4.04273
258,0.540845,3.17768,3.0301,3.76714,3.84301
259,0.430886,2.6454,2.48094,4.83908,4.86154
260,0.792343,3.51925,2.95247,3.98467,4.04745
261,0.209861,4.32478,4.51259,3.9133,4.03151
262,0.614052,2.31007,2.40002,3.44591,3.39262
263,0.424765,2.87037,2.97817,3.86768,3.7618
264,0.843881,3.10166,3.13027,2.79622,3.05251
265,0.622542,2.667,2.93767,3.28661,3.27636
266,0.472327,2.88492,2.89215,12.3615,12.3315
267,0.203118,2.24112,2.44853,8.59181,8.52486
268,0.471558,2.72482,2.76843,4.7198,4.78673
269,0.930185,2.4333,2.58896,3.73805,3.60614
270,0.446278,3.00102,3.07737,3.89055,3.88204
271,0.381318,2.33612,2.58502,8.13656,8.16939
272,0.718223,2.4597,2.59381,3.40285,3.3591
273,0.45131,2.94638,2.87745,4.34899,4.36659
274,0.407267,2.7821,2.58663,4.73978,4.72643
275,0.389715,2.85869,2.58462,12.3838,12.4078
276,0.414243,2.38474,2.12287,9.31777,9.29793
277,0.262221,2.69631,2.37836,5.65738,5.73297
278,0.475938,2.31714,2.24893,6.42721,6.51459
279,0.793886,2.50692,2.49031,5.18213,5.17977
280,0.838312,2.94283,3.01558,3.93239,3.96961
281,0.747863,3.14864,3.11925,3.21264,3.10833
282,0.313727,3.65325,3.33883,3.18217,3.24793
283,0.898665,2.63502,2.52801,6.42134,6.29032
284,1.40638,2.44409,2.39795,2.7736,2.86537
285,0.78074,2.47521,2.46948,4.4627,4.48253
286,0.656758,3.37728,3.73148,3.18381,3.16924
287,0.569156,3.0773,3.52667,4.83154,4.8762
288,0.951063,2.10982,2.16238,3.88925,3.94726
289,0.666648,2.86673,2.71458,6.92768,6.9853
290,0.382563,2.62023,2.63553,3.06538,2.98865
291,0.537157,3.07668,3.94702,12.5989,12.6422
292,0.914427,2.42867,2.46494,3.23679,3.2195
293,0.65455,2.52675,2.47051,8.67221,8.69708
294,0.24071,2.23689,2.21924,3.25933,3.304
295,0.94182,2.66937,2.90149,3.37311,3.34628
296,0.895266,2.9276,3.30539,3.52349,3.58227
297,0.5947,2.84223,3.07526,4.93614,4.82009
298,0.345527,2.73858,3.02247,4.26931,4.28792
299,0.516011,3.72107,2.71186,3.30055,3.44032
300,0.742921,2.79523,2.74562,4.99697,4.9338
301,0.729157,2.76817,2.79913,3.83894,3.75365
302,0.210664,2.68609,2.62818,3.19322,3.14525
303,0.799033,2.76438,2.74989,3.38902,3.34666
304,0.509144,3.37961,3.18179,9.25912,9.13845
305,0.219797,2.21274,2.25714,3.27891,3.22598
306,0.64247,2.27976,2.31402,5.58825,5.61578
307,0.411436,2.31109,2.17974,6.45103,6.36164
308,0.221677,2.43731,2.15135,3.68792,3.75558
309,0.763085,2.37427,2.18421,4.11345,4.18547
310,0.547583,2.52426,2.55627,3.41332,3.51666
311,0.444736,2.56912,2.55793,3.74181,3.70993
312,0.521638,2.31916,2.47699,8.75092,8.93831
313,0.779737,2.78293,2.83948,4.18571,4.25006
314,0.471225,2.4776,2.65005,3.47354,3.42062
315,1.19234,2.31052,2.45938,2.90892,2.95129
316,1.16169,2.80276,2.78476,3.73303,3.56751
317,0.394484,2.36495,2.34178,3.96144,4.06789
318,0.481182,3.29285,3.02484,9.31654,9.36611
319,0.483289,2.15498,2.30001,3.14645,3.19022
320,0.458536,2.75339,2.73818,3.62148,3.6508
321,0.841453,2.4888,2.6518,3.66927,3.64935
322,0.428943,2.65566,2.88586,3.75218,3.71357
323,1.04694,2.48105,2.65956,4.46823,4.55823
324,0.815926,2.9531,3.10844,8.24907,8.20956
325,0.569031,2.6022,2.54381,3.34409,3.49918
326,0.564203,2.6927,3.08709,9.5926,9.51448
327,0.538832,2.47452,2.29045,4.09634,4.14905
328,0.689099,2.53692,2.56704,4.64196,4.56602
329,0.266454,2.27279,2.1993,3.36437,3.41759
330,0.476385,2.36985,2.25277,4.78195,4.83424
331,0.448072,2.53951,2.47549,8.17579,8.19831
332,0.768882,2.80045,2.76025,3.21158,3.00654
333,1.02569,2.61545,2.76482,2.97777,2.94804
334,0.731419,2.46579,2.61326,3.69484,3.77654
335,1.00227,2.6951,2.9223,2.81389,2.89526
336,1.00463,3.85663,3.43755,4.70465,4.78314
